id	group1	pielou_e
#q2:types	categorical	numeric
Gi00C1	GillCont	0.682381066072729
Gi00C2	GillCont	0.624119538985397
Gi00C3	GillCont	0.697351438691548
Gi00C4	GillCont	0.787173259270723
Gi00C5	GillCont	0.750486734537546
Gi0I1	GillRes	0.816867568598452
Gi0I2	GillRes	0.891464174683896
Gi0I3	GillRes	0.861838734254356
Gi0I4	GillRes	0.808710634788841
Gi0I5	GillRes	0.903292611520639
Gi4I1	GillRes	0.638280357248577
Gi4I2	GillInf	0.666704804195487
Gi4I3	GillRes	0.859946361357045
Gi4I4	GillRes	0.881026524176379
Gi4I5	GillRes	0.601543306707671
Gi7I1	GillRes	0.795399770091832
Gi7I2	GillRes	0.528616114477733
Gi7I3	GillRes	0.691500891447734
Gi7I4	GillRes	0.700866145790154
Gi7I5	GillInf	0.872470390860344
Gi10I1	GillRes	0.906266311394729
Gi10I2	GillInf	0.866741055877967
Gi10I3	GillInf	0.601887174404846
Gi10I4	GillRes	0.90558785847704
Gi10I5	GillInf	0.887301608912065
Gi10I6	GillRes	0.865667594572271
Gi10I7	GillRes	0.707086494781599
Gi10I10	GillRes	0.742571215063331
Gi0C1	GillCont	0.56616988839066
Gi0C2	GillCont	0.879999641367138
Gi0C3	GillCont	0.921450885795655
Gi0C4	GillCont	0.792049420461489
Gi0C5	GillCont	0.905300012268745
Gi4C1	GillCont	0.818955463613983
Gi4C2	GillCont	0.906320331857141
Gi4C3	GillCont	0.539763657086912
Gi4C4	GillCont	0.867704090534586
Gi4C5	GillCont	0.50495846855452
Gi7C1	GillCont	0.882047721572098
Gi7C2	GillCont	0.858982885278017
Gi7C3	GillCont	0.896711042683863
Gi7C4	GillCont	0.912959435843254
Gi7C5	GillCont	0.897103789261324
Gi10C1	GillCont	0.727236302655019
Gi10C2	GillCont	0.84951448222901
Gi10C3	GillCont	0.892472350570217
Gi10C5	GillCont	0.857836799106556
M00C1	MucusCont	0.58299331849898
M00C2	MucusCont	0.659127859301587
M00C3	MucusCont	0.654406367170704
M00C4	MucusCont	0.740867088489922
M00C5	MucusCont	0.673938146085711
M0I1	MucusRes	0.344704541876413
M0I2	MucusRes	0.864412550716135
M0I3	MucusRes	0.508663630518588
M0I4	MucusRes	0.477344627904095
M0I5	MucusRes	0.41315646955379
M4I1	MucusRes	0.883056950001068
M4I2	MucusInf	0.681546177849357
M4I3	MucusRes	0.77828604035433
M4I4	MucusRes	0.711840000585213
M4I5	MucusRes	0.684608310180176
M7I1	MucusRes	0.623142675573722
M7I2	MucusRes	0.720947603859761
M7I3	MucusRes	0.703808760541591
M7I4	MucusRes	0.83709948412078
M7I5	MucusInf	0.791770392157239
M10I1	MucusRes	0.780456881168249
M10I2	MucusInf	0.748844092798042
M10I3	MucusInf	0.755548771510478
M10I4	MucusRes	0.774227413641619
M10I5	MucusInf	0.746296172473514
M10I6	MucusRes	0.705267334597361
M10I7	MucusRes	0.773629205002081
M10I8	MucusRes	0.796368698920953
M0C1	MucusCont	0.563471601287878
M0C2	MucusCont	0.57003857637378
M0C3	MucusCont	0.806297096113393
M0C4	MucusCont	0.496639725624557
M0C5	MucusCont	0.757420442174543
M4C1	MucusCont	0.737915647594508
M4C2	MucusCont	0.689357479822262
M4C3	MucusCont	0.856362637454475
M4C4	MucusCont	0.769399474431169
M4C5	MucusCont	0.758673814043677
M7C1	MucusCont	0.753133823065878
M7C2	MucusCont	0.780881406465898
M7C3	MucusCont	0.778316670281088
M7C4	MucusCont	0.791760847682511
M7C5	MucusCont	0.872419677042341
M10C1	MucusCont	0.819191098803868
M10C2	MucusCont	0.834318790636853
M10C3	MucusCont	0.856946572001072
M10C5	MucusCont	0.828844804601614
Gi10I8	MucusRes	0.640388929837383
Gi10I9	MucusInf	0.659229069910567
Gi10C4	GillCont	0.825375944432795
M10I9	MucusInf	0.677442137959249
M10I10	MucusRes	0.713437207927648
M10C4	MucusCont	0.846351823113627
